Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
MITSUBISHI/TRITON SPORT OUTDOOR HPE S (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/mitsubishi/triton-sport-outdoor-hpe-s-(4p)/ano.2021/52d60f19-2133-11f0-bcc9-02420a000216,N/A,CE,2020,N/A,"R$ 52.600,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
RENAULT/KWID INTENSE 2 (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-intense-2-(4p)/ano.2024/ffcbcf52-213b-11f0-bcc9-02420a000216,N/A,CE,2023,N/A,"R$ 17.800,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
RENAULT/KWID OUTSIDER (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-outsider-(4p)/ano.2020/34c3be94-328c-11f0-9f79-02420a000005,N/A,CE,2019,138.358 km,"R$ 13.300,00",Leilão ao vivo em: 2 dias 6h1m17s,24/06/2025,,,,,,,,,
TOYOTA/COROLLA GLI UPPER,https://leilo.com.br/leilao/manaus-amazonas/carros/toyota/corolla-gli-upper/ano.2019/49f2861b-e986-11ef-903d-02420a000042,N/A,AM,2018,79.869 km,"R$ 27.500,00",Leilão ao vivo em: 2 dias 6h1m39s,24/06/2025,,,,,,,,,
HONDA/CITY HATCH EXL,https://leilo.com.br/leilao/eusebio-ceara/carros/honda/city-hatch-exl/ano.2023/81fd6221-f999-11ee-b80e-02420a000059,N/A,CE,2023,5.254 km,"R$ 33.300,00",Leilão ao vivo em: 2 dias 6h3m4s,24/06/2025,,,,,,,,,
CITROEN/C3 AIRCROSS EXC,https://leilo.com.br/leilao/manaus-amazonas/carros/citroen/c3-aircross-exc/ano.2013/facd044b-275c-11ef-b7fa-02420a00001f,N/A,AM,2012,N/A,"R$ 11.100,00",Leilão ao vivo em: 2 dias 6h3m55s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2024/8e947be8-7218-11ef-8b26-02420a000015,N/A,AM,2023,N/A,"R$ 31.400,00",Leilão ao vivo em: 2 dias 6h4m15s,24/06/2025,,,,,,,,,
VOLKSWAGEN/SPACECROSS GII,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/spacecross-gii/ano.2012/0c6757ef-37d5-11f0-bd5d-02420a000005,N/A,DF,2011,151.390 km,"R$ 11.400,00",Leilão ao vivo em: 2 dias 6h4m38s,24/06/2025,,,,,,,,,
CITROEN/C3 EXCL FLEX (2P/4P),https://leilo.com.br/leilao/benevides-para/carros/citroen/c3-excl-flex-(2p%2F4p)/ano.2007/ee4736e7-29ef-11f0-9f79-02420a000005,N/A,PA,2007,165.179 km,"R$ 5.600,00",Leilão ao vivo em: 2 dias 6h5m2s,24/06/2025,,,,,,,,,
FIAT/UNO ATTRACTIVE (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-attractive-(4p%2F2p)/ano.2021/aeb7f11f-370f-11f0-bd5d-02420a000005,N/A,CE,2021,N/A,"R$ 14.400,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2011/a3e68648-22a8-11f0-bcc9-02420a000216,N/A,CE,2011,155.392 km,"R$ 9.100,00",Leilão ao vivo em: 2 dias 6h7m18s,24/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-expression-(4p)/ano.2020/7ddbd523-cec1-11ef-8e48-02420a000017,N/A,CE,2019,N/A,"R$ 25.100,00",Leilão ao vivo em: 3 dias33m10s,25/06/2025,,,,,,,,,
FIAT/ARGO DRIVE 1.0 (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/argo-drive-1.0-(4p)/ano.2020/db508965-358b-11f0-9f79-02420a000005,N/A,CE,2019,63.942 km,"R$ 30.200,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
TOYOTA/HILUX CLE A 4JD DUPLA,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/hilux-cle-a-4jd-dupla/ano.2018/b7533a83-f056-11ef-bd15-02420a00000b,N/A,CE,2018,164.289 km,"R$ 97.200,00",Leilão ao vivo em: 3 dias33m58s,25/06/2025,,,,,,,,,
JEEP/COMPASS LONGITUDE F,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/compass-longitude-f/ano.2018/5078cdd1-065b-11f0-8c72-02420a00002d,N/A,CE,2017,92.827 km,"R$ 50.200,00",Leilão ao vivo em: 3 dias34m22s,25/06/2025,,,,,,,,,
CHEVROLET/SPIN LTZ 1.8L AUTOMATICO,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/spin-ltz--1.8l-automatico/ano.2018/b6bd81eb-0b49-11f0-8c72-02420a00002d,N/A,CE,2017,113.346 km,"R$ 34.400,00",Leilão ao vivo em: 3 dias34m48s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/24d43023-147b-11f0-b6cf-02420a00009e,N/A,CE,2018,121.672 km,"R$ 31.400,00",Leilão ao vivo em: 3 dias35m10s,25/06/2025,,,,,,,,,
RENAULT/CAPTUR ICONIC 1.3T CVT,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/captur-iconic-1.3t-cvt/ano.2024/8d5fb9ed-2cea-11f0-9f79-02420a000005,N/A,CE,2023,20.745 km,"R$ 68.100,00",Leilão ao vivo em: 3 dias35m37s,25/06/2025,,,,,,,,,
KIA/UK2500 HD SC (2P),https://leilo.com.br/leilao/eusebio-ceara/carros/kia/uk2500-hd-sc-(2p)/ano.2022/e5c03031-f08f-11ef-bd15-02420a00000b,N/A,CE,2021,116.850 km,"R$ 74.000,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
TOYOTA/HILUX CD SRX A 4FD,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/hilux-cd-srx-a-4fd/ano.2022/80c8c00f-3cab-11f0-b593-02420a000005,N/A,CE,2021,91.021 km,"R$ 135.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2018/3c3df4d5-4156-11f0-b593-02420a000005,N/A,CE,2017,124.632 km,"R$ 20.800,00",Leilão ao vivo em: 3 dias36m37s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TMT LTZ,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-ltz/ano.2021/3e77cf92-1545-11f0-b6cf-02420a00009e,N/A,CE,2020,109.583 km,"R$ 38.800,00",Leilão ao vivo em: 3 dias37m2s,25/06/2025,,,,,,,,,
FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2020/f9ef2ba4-ede5-11ef-bd15-02420a00000b,N/A,CE,2019,168.021 km,"R$ 32.400,00",Leilão ao vivo em: 3 dias37m24s,25/06/2025,,,,,,,,,
RENAULT/FLUENCE DYNAMIQUE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/fluence-dynamique-(4p)/ano.2016/71a87272-7d04-11ef-a1ff-02420a0000dd,N/A,CE,2015,192.777 km,"R$ 28.300,00",Leilão ao vivo em: 3 dias37m48s,25/06/2025,,,,,,,,,
FORD/KA SE B (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/ka-se-b-(4p)/ano.2018/d7a9b251-dffc-11ef-903d-02420a000042,N/A,BA,2018,172.384 km,"R$ 23.800,00",Leilão ao vivo em: 3 dias38m11s,25/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/9d5c1bf6-ed61-11ef-bd15-02420a00000b,N/A,BA,2012,203.167 km,"R$ 17.700,00",Leilão ao vivo em: 3 dias38m35s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2012/20680c4e-3d86-11f0-b593-02420a000005,N/A,CE,2011,114.016 km,"R$ 14.100,00",Leilão ao vivo em: 3 dias38m54s,25/06/2025,,,,,,,,,
FIAT/DOBLO ADVENTURE FLEX,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/doblo-adventure-flex/ano.2013/7ced8de6-a5a5-11ef-8e48-02420a000017,N/A,CE,2012,372.222 km,"R$ 26.800,00",Leilão ao vivo em: 3 dias39m20s,25/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/25010223-ff3f-11ef-8c72-02420a00002d,N/A,CE,2019,137.404 km,"R$ 24.900,00",Leilão ao vivo em: 3 dias39m45s,25/06/2025,,,,,,,,,
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2015/aec462a6-e09f-11ef-903d-02420a000042,N/A,BA,2014,N/A,"R$ 17.100,00",Leilão ao vivo em: 3 dias40m6s,25/06/2025,,,,,,,,,
CHEVROLET/PRISMA LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-1.4-mecanico-(4p)/ano.2016/c61d93b9-ed43-11ef-bd15-02420a00000b,N/A,CE,2016,224.049 km,"R$ 28.200,00",Leilão ao vivo em: 3 dias40m32s,25/06/2025,,,,,,,,,
NISSAN/SENTRA S (4P),https://leilo.com.br/leilao/candeias-bahia/carros/nissan/sentra-s-(4p)/ano.2009/aee70eff-05be-11f0-8c72-02420a00002d,N/A,BA,2008,N/A,"R$ 16.300,00",Leilão ao vivo em: 3 dias40m55s,25/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-expression-(2p%2F4p)/ano.2017/66c9b9c9-d8c7-11ef-903d-02420a000042,N/A,CE,2016,134.362 km,"R$ 20.900,00",Leilão ao vivo em: 3 dias41m19s,25/06/2025,,,,,,,,,
FIAT/IDEA ADVENTURE,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/idea-adventure/ano.2015/b520c67b-2605-11f0-bcc9-02420a000216,N/A,CE,2014,N/A,"R$ 23.100,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL CITY MB (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-city-mb-(2p%2F4p)/ano.2015/93ca5c0f-2520-11f0-bcc9-02420a000216,N/A,CE,2014,141.640 km,"R$ 17.900,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2018/9b5035c9-42e5-11f0-b593-02420a000005,N/A,CE,2017,115.518 km,"R$ 20.800,00",Leilão ao vivo em: 3 dias42m7s,25/06/2025,,,,,,,,,
CHEVROLET/ZAFIRA COMFORT,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/zafira-comfort/ano.2005/9325aa3d-92d9-11ef-b411-02420a0000bf,N/A,CE,2005,63.182 km,"R$ 10.900,00",Leilão ao vivo em: 3 dias42m21s,25/06/2025,,,,,,,,,
CITROEN/C3 AIRCROSS GLX,https://leilo.com.br/leilao/candeias-bahia/carros/citroen/c3-aircross-glx/ano.2014/9881de13-356e-11f0-9f79-02420a000005,N/A,BA,2013,N/A,"R$ 21.000,00",Leilão ao vivo em: 3 dias42m44s,25/06/2025,,,,,,,,,
FIAT/SIENA ATTRACTIVE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/siena-attractive-(4p)/ano.2017/a87a6fbd-210e-11f0-bcc9-02420a000216,N/A,CE,2016,158.422 km,"R$ 23.200,00",Leilão ao vivo em: 3 dias43m5s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/9032efe6-9796-11ef-9088-02420a0000e0,N/A,BA,2010,132.862 km,"R$ 12.600,00",Leilão ao vivo em: 3 dias43m24s,25/06/2025,,,,,,,,,
CHEVROLET/CRUZE HATCH LT HB (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cruze-hatch-lt-hb-(4p)/ano.2012/7c647b33-f69f-11ef-9028-02420a000044,N/A,CE,2012,175.265 km,"R$ 28.200,00",Leilão ao vivo em: 3 dias43m46s,25/06/2025,,,,,,,,,
JEEP/RENEGADE SPORT AUTOMATICO,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/renegade-sport-automatico/ano.2017/e23825b2-324d-11f0-9f79-02420a000005,N/A,CE,2016,151.950 km,"R$ 37.400,00",Leilão ao vivo em: 3 dias44m7s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TMT LT1,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-lt1/ano.2020/198721b3-0a3c-11f0-8c72-02420a00002d,N/A,CE,2020,91.818 km,"R$ 36.500,00",Leilão ao vivo em: 3 dias45m33s,25/06/2025,,,,,,,,,
VOLKSWAGEN/NOVA SAVEIRO ROBUST MBVS,https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/nova-saveiro-robust-mbvs/ano.2018/e96c774d-0a53-11f0-8c72-02420a00002d,N/A,BA,2017,71.990 km,"R$ 28.500,00",Leilão ao vivo em: 3 dias46m24s,25/06/2025,,,,,,,,,
FIAT/PALIO ATTRACTIVE 1.0 (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/palio-attractive-1.0-(4p)/ano.2015/9f91f1ff-4a27-11ed-a391-02420a000011,N/A,CE,2015,252.412 km,"R$ 16.700,00",Leilão ao vivo em: 3 dias46m49s,25/06/2025,,,,,,,,,
NISSAN/SENTRA S (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/sentra-s-(4p)/ano.2009/c2dde99f-4a27-11ed-a391-02420a000011,N/A,CE,2008,159.194 km,"R$ 15.900,00",Leilão ao vivo em: 3 dias47m12s,25/06/2025,,,,,,,,,
CHEVROLET/MONTANA LS,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/montana-ls/ano.2012/e839475b-0107-11f0-8c72-02420a00002d,N/A,CE,2011,139.301 km,"R$ 20.600,00",Leilão ao vivo em: 3 dias47m34s,25/06/2025,,,,,,,,,
PEUGEOT/206 SENSATION FLEX (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/206-sensation-flex-(2p%2F4p)/ano.2008/5bd5c77d-4a27-11ed-a391-02420a000011,N/A,CE,2008,251.110 km,"R$ 6.700,00",Leilão ao vivo em: 3 dias47m54s,25/06/2025,,,,,,,,,
FORD/KA FLEX (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-flex-(2p%2F4p)/ano.2009/bfd7ed0a-4a27-11ed-a391-02420a000011,N/A,CE,2009,85.957 km,"R$ 10.200,00",Leilão ao vivo em: 3 dias48m19s,25/06/2025,,,,,,,,,
PEUGEOT/207 PASSION XS (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/207-passion-xs-(4p)/ano.2012/752a3331-3ad2-11ef-b7fa-02420a00001f,N/A,CE,2011,N/A,"R$ 12.100,00",Leilão ao vivo em: 3 dias48m41s,25/06/2025,,,,,,,,,
FIAT/UNO WAY E (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-way-e-(2p%2F4p)/ano.2017/d67e93fd-1dde-11ef-b80e-02420a000059,N/A,CE,2017,N/A,"R$ 22.000,00",Leilão ao vivo em: 3 dias49m4s,25/06/2025,,,,,,,,,
CHEVROLET/SPIN 1.8L MT LT,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/spin-1.8l-mt-lt/ano.2014/c56d1fb6-9d83-11ed-b848-02420a000015,N/A,CE,2013,N/A,"R$ 22.100,00",Leilão ao vivo em: 3 dias49m24s,25/06/2025,,,,,,,,,
HYUNDAI/TUCSON GL,https://leilo.com.br/leilao/eusebio-ceara/carros/hyundai/tucson-gl/ano.2008/3886da1c-3a43-11ef-b7fa-02420a00001f,N/A,CE,2007,223.440 km,"R$ 18.500,00",Leilão ao vivo em: 3 dias49m49s,25/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-expression-(4p)/ano.2010/b7461dd5-f36d-11ef-bd15-02420a00000b,N/A,CE,2010,197.328 km,"R$ 13.600,00",Leilão ao vivo em: 3 dias50m11s,25/06/2025,,,,,,,,,
PEUGEOT/207 ACTIVE (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/207-active-(2p%2F4p)/ano.2014/ce5e3fdf-4a27-11ed-a391-02420a000011,N/A,CE,2013,156.185 km,"R$ 15.000,00",Leilão ao vivo em: 3 dias50m34s,25/06/2025,,,,,,,,,
VOLKSWAGEN/SPACEFOX COMFORTLINE,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/spacefox-comfortline/ano.2008/bc9fd35e-df01-11ef-903d-02420a000042,N/A,CE,2008,173.291 km,"R$ 15.700,00",Leilão ao vivo em: 3 dias50m56s,25/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2013/99fc5cf1-01aa-11f0-8c72-02420a00002d,N/A,CE,2012,124.637 km,"R$ 18.800,00",Leilão ao vivo em: 3 dias51m20s,25/06/2025,,,,,,,,,
LAND ROVER/DISCOVERY 4 SE,https://leilo.com.br/leilao/eusebio-ceara/carros/land-rover/discovery-4-se/ano.2011/dd92f351-7f24-11ee-b57d-02420a0000d3,N/A,CE,2011,163.608 km,"R$ 46.600,00",Leilão ao vivo em: 3 dias51m39s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2008/228a30d5-b654-11ef-8e48-02420a000017,N/A,CE,2007,155.735 km,"R$ 10.600,00",Leilão ao vivo em: 3 dias52m4s,25/06/2025,,,,,,,,,
TOYOTA/COROLLA ALTIS FX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/corolla-altis-fx-(4p)/ano.2012/830a948f-01a0-11f0-8c72-02420a00002d,N/A,CE,2011,N/A,"R$ 34.900,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FORD/ECOSPORT SE AT,https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ecosport-se-at/ano.2015/ff2cd78f-251b-11f0-bcc9-02420a000216,N/A,CE,2014,134.116 km,"R$ 30.200,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FIAT/UNO ATTRACTIVE (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-attractive-(4p%2F2p)/ano.2016/f05e3897-1f90-11f0-abeb-02420a0000a3,N/A,CE,2016,185.436 km,"R$ 21.000,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2025/3c144916-067a-11f0-8c72-02420a00002d,N/A,CE,2024,17.774 km,"R$ 46.600,00",Leilão ao vivo em: 3 dias53m29s,25/06/2025,,,,,,,,,
CHEVROLET/COBALT LTZ (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cobalt-ltz-(4p)/ano.2015/9955e9ff-977b-11ef-9088-02420a0000e0,N/A,CE,2014,139.140 km,"R$ 23.900,00",Leilão ao vivo em: 3 dias53m48s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2025/6f10e428-ee17-11ef-bd15-02420a00000b,N/A,CE,2024,3.270 km,"R$ 47.000,00",Leilão ao vivo em: 3 dias54m7s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX 10TMT LTZ,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10tmt-ltz/ano.2023/ee5a9c3b-1218-11f0-8c72-02420a00002d,N/A,CE,2022,70.273 km,"R$ 44.200,00",Leilão ao vivo em: 3 dias54m33s,25/06/2025,,,,,,,,,
RENAULT/KWID INTENSE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-intense-(4p)/ano.2022/34ea9224-2b69-11f0-9f79-02420a000005,N/A,CE,2021,78.329 km,"R$ 28.000,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS JOY BLACK,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-joy-black/ano.2021/2c3f586c-117a-11f0-8c72-02420a00002d,N/A,CE,2021,N/A,"R$ 33.400,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
VOLKSWAGEN/T CROSS COMFORTLINE AD,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/t-cross-comfortline-ad/ano.2020/fc3662e7-eec3-11ef-bd15-02420a00000b,N/A,CE,2019,117.655 km,"R$ 53.100,00",Leilão ao vivo em: 3 dias55m1s,25/06/2025,,,,,,,,,
VOLKSWAGEN/NOVA SAVEIRO ROBUST MBVS,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/nova-saveiro-robust-mbvs/ano.2020/41453b09-0fef-11f0-8c72-02420a00002d,N/A,CE,2019,118.613 km,"R$ 31.700,00",Leilão ao vivo em: 3 dias55m21s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TMT LTZ,https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/onix-plus-10tmt-ltz/ano.2020/c02a6597-e30c-11ef-903d-02420a000042,N/A,BA,2019,46.808 km,"R$ 37.600,00",Leilão ao vivo em: 3 dias55m36s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/onix-joye-(4p)/ano.2019/22a28b34-19eb-11f0-bf87-02420a000088,N/A,BA,2019,106.986 km,"R$ 27.900,00",Leilão ao vivo em: 3 dias56m50s,25/06/2025,,,,,,,,,
RENAULT/LOGAN AUTHENTIQUE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/logan-authentique-(4p)/ano.2019/87f4ad1a-e30b-11ef-903d-02420a000042,N/A,CE,2018,206.017 km,"R$ 21.400,00",Leilão ao vivo em: 3 dias57m6s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-joye-(4p)/ano.2018/4e80d35f-f51c-11ef-bd15-02420a00000b,N/A,CE,2017,197.426 km,"R$ 25.500,00",Leilão ao vivo em: 3 dias57m27s,25/06/2025,,,,,,,,,
RENAULT/SANDERO AUTHENTIQUE/ VIBE 1.0 12V SCE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/sandero-authentique%2F-vibe-1.0-12v-sce-(4p)/ano.2018/e5b1764d-1a39-11f0-bf87-02420a000088,N/A,BA,2017,247.037 km,"R$ 21.700,00",Leilão ao vivo em: 3 dias58m48s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-joye-(4p)/ano.2018/be8a2745-d4f5-11ef-903d-02420a000042,N/A,CE,2017,168.151 km,"R$ 25.600,00",Leilão ao vivo em: 3 dias59m5s,25/06/2025,,,,,,,,,
FORD/FUSION (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fusion-(4p)/ano.2010/2ff0cb85-1ae6-11f0-abeb-02420a0000a3,N/A,CE,2009,N/A,"R$ 21.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FIAT/MOBI LIKE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/mobi-like-(4p)/ano.2017/443fbcd7-08e4-11f0-8c72-02420a00002d,N/A,BA,2016,158.945 km,"R$ 23.000,00",Leilão ao vivo em: 3 dias59m45s,25/06/2025,,,,,,,,,
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2015/ce80a0d5-0113-11f0-8c72-02420a00002d,N/A,BA,2015,N/A,"R$ 16.900,00",Leilão ao vivo em: 3 dias 1h2s,25/06/2025,,,,,,,,,
FIAT/PALIO ATTRACT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/palio-attract-(4p)/ano.2015/ae1d237c-0403-11f0-8c72-02420a00002d,N/A,CE,2014,102.312 km,"R$ 19.500,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
VOLKSWAGEN/SAVEIRO CABINE DUPLA CROSS MA,https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/saveiro-cabine-dupla-cross-ma/ano.2015/2f34dc75-03ec-11f0-8c72-02420a00002d,N/A,BA,2014,188.372 km,"R$ 37.500,00",Leilão ao vivo em: 3 dias 1h38s,25/06/2025,,,,,,,,,
FIAT/PALIO ATTRACTIVE 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/palio-attractive-1.0-(2p%2F4p)/ano.2015/dbdc56f5-0717-11f0-8c72-02420a00002d,N/A,CE,2014,761.891 km,"R$ 19.500,00",Leilão ao vivo em: 3 dias 1h1m27s,25/06/2025,,,,,,,,,
FORD/KA FLEX (2P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-flex-(2p)/ano.2009/84466677-ab69-11ef-8e48-02420a000017,N/A,CE,2008,N/A,"R$ 9.700,00",Leilão ao vivo em: 3 dias 1h1m46s,25/06/2025,,,,,,,,,
RENAULT/LOGAN DYNAMIQUE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/logan-dynamique-(4p)/ano.2015/1cb637c2-76c4-11ef-8b26-02420a000015,N/A,CE,2014,N/A,"R$ 19.700,00",Leilão ao vivo em: 3 dias 1h1m53s,25/06/2025,,,,,,,,,
